ISIC_id,ISIC_id_paired,partition
ISIC_0079038,ISIC_8521950,train
ISIC_0087297,ISIC_4755972,train
ISIC_0088137,ISIC_4201955,train
ISIC_0112097,ISIC_5934021,train
ISIC_0148783,ISIC_7460560,train
ISIC_0149568,ISIC_9022005,train
ISIC_0157530,ISIC_3986853,train
ISIC_0158761,ISIC_8874925,test
ISIC_0184944,ISIC_2283336,train
ISIC_0192490,ISIC_5956536,train
ISIC_0196945,ISIC_8108340,train
ISIC_0207209,ISIC_2961141,train
ISIC_0213336,ISIC_7923858,train
ISIC_0229600,ISIC_1192253,train
ISIC_0238002,ISIC_6602795,train
ISIC_0240628,ISIC_9361467,train
ISIC_0254686,ISIC_7838687,train
ISIC_0277354,ISIC_4436810,train
ISIC_0292158,ISIC_8284364,train
ISIC_0308133,ISIC_7456073,train
ISIC_0313653,ISIC_1661411,train
ISIC_0316025,ISIC_0378118,train
ISIC_0337921,ISIC_4364169,train
ISIC_0358326,ISIC_4745049,train
ISIC_0363130,ISIC_2750577,train
ISIC_0367225,ISIC_8469351,train
ISIC_0370932,ISIC_9391954,train
ISIC_0375431,ISIC_5921042,test
ISIC_0385633,ISIC_3707449,train
ISIC_0386664,ISIC_1922645,train
ISIC_0388802,ISIC_6082446,test
ISIC_0401116,ISIC_0467724,train
ISIC_0409276,ISIC_7861914,train
ISIC_0412659,ISIC_4792222,train
ISIC_0434354,ISIC_0707446,train
ISIC_0434890,ISIC_5421651,test
ISIC_0437284,ISIC_7226080,train
ISIC_0441886,ISIC_9618840,train
ISIC_0449983,ISIC_3988396,train
ISIC_0462336,ISIC_2866924,test
ISIC_0481059,ISIC_5484776,train
ISIC_0481910,ISIC_5889146,train
ISIC_0485815,ISIC_2619603,train
ISIC_0494257,ISIC_2783475,train
ISIC_0506082,ISIC_1259317,test
ISIC_0512155,ISIC_7167788,train
ISIC_0516613,ISIC_3452266,train
ISIC_0517531,ISIC_2403393,test
ISIC_0523031,ISIC_3417128,train
ISIC_0535654,ISIC_1368313,train
ISIC_0544886,ISIC_2127378,train
